ID,ParkName,LocationName,ParkType,CAPACITY,Open,Close,CountyName,LONGITUDE,LATITUDE
157,Umraniye Toya Sokak 1,Umraniye Toya Soka,Yol Ustu,34,7:45:00 AM,5:00:00 PM,Umraniye,29.11377509,41.02630866
158,Yesilce Zemin Alti Katli Otoparki,Yesilce Zemin Alti Katli Otopark,Kapali Otopark,769,12:00:00 AM,11:59:00 PM,Kagithane,29.00275665,41.09372378
159,Kartal Savarona Sahil Cep,Kartal Savarona Sahil Ce,Acik Otopark,60,7:00:00 AM,6:00:00 PM,Kartal,29.18211394,40.88593854
160,Suadiye Sahil Acik Otoparki,Suadiye Sahil Acik  Otopark,Acik Otopark,104,12:00:00 AM,11:59:00 PM,Kadikoy,29.07986217,40.95595178
161,Bahcelievler Devlet Hastanesi Yani Katli Otoparki 2,Bahcelievler Devlet Hastanesi Yani Katli Otopark,Kapali Otopark,740,12:00:00 AM,11:59:00 PM,Bahcelievler,28.84404199,41.00721853
162,Kadikoy Sahil Acik Otopark 2,Kadikoy Sahil Acik Otopark,Acik Otopark,50,12:00:00 AM,11:59:00 PM,Kadikoy,29.02177582,40.99113789
163,Bostanci Metro Yol Ustu Otoparki,Bostanci Metro Yol Ustu  Otopark,Yol Ustu,20,10:00:00 AM,10:00:00 PM,Kadikoy,29.0966747,40.95219894
164,Bahcelievler Soganli Zemin Alti Otoparki,Bahcelievler Soganli Zemin Alti Otopark,Kapali Otopark,663,12:00:00 AM,11:59:00 PM,Bahcelievler,28.85817312,41.01528729
165,Kirazli Metro Duragi P+R,Kirazli Metro Duragi P+,Acik Otopark,650,12:00:00 AM,11:59:00 PM,Bagcilar,28.84222595,41.03112886
166,Beyoglu İnonu Caddesi 6,İnonu Caddes,Yol Ustu,40,8:00:00 AM,8:00:00 PM,Beyoglu,28.9873334,41.03583334
167,Ahmet Fetgari Sk.,Ahmet Fetgeri-Camii Soka,Yol Ustu,21,8:00:00 AM,7:00:00 PM,Sisli,28.99420281,41.05002003
168,Mim Kemal Oke Caddesi 1,Mim Kemal Ok,Yol Ustu,40,8:00:00 AM,7:00:00 PM,Sisli,28.99037101,41.05010536
