ID,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,County_Name,Neighborhood_Name,LATITUDE,LONGITUDE
286,2,Akaryakit Lpg,10,Opet,Umraniye,Saray,41.02251645,29.11600808
287,2,Akaryakit Lpg,10,Opet,Sancaktepe,Ataturk,41.00851137,29.21597958
288,2,Akaryakit Lpg,12,Petrol Ofisi,Sisli,Pasa,41.04799605,28.9686015
289,1,Akaryakit,5,BP,Fatih,Iskenderpasa,41.01637965,28.94926326
290,2,Akaryakit Lpg,5,BP,Buyukcekmece,Mimar Sinan,41.01976026,28.56367183
291,2,Akaryakit Lpg,12,Petrol Ofisi,Pendik,Bahcelievler,40.8862482,29.23630356
292,1,Akaryakit,12,Petrol Ofisi,Cekmekoy,Alemdag,41.03967624,29.23452196
293,2,Akaryakit Lpg,3,Aytemiz,Kadikoy,19 Mayis,40.97755127,29.097093
294,1,Akaryakit,13,Shell-Turcas Petrol,Zeytinburnu,Veliefendi,40.99509797,28.89498736
295,1,Akaryakit,13,Shell-Turcas Petrol,Bayrampasa,Yenidogan,41.03959059,28.9113182
296,2,Akaryakit Lpg,5,BP,Kartal,Cavusoglu,40.89677383,29.20341709
297,1,Akaryakit,13,Shell-Turcas Petrol,Cekmekoy,Eksioglu,41.02688061,29.23974643
298,1,Akaryakit,13,Shell-Turcas Petrol,Sariyer,Yenikoy,41.1177242,29.06441979
299,2,Akaryakit Lpg,5,BP,Pendik,Kurtkoy,40.91494082,29.30364366
300,2,Akaryakit Lpg,12,Petrol Ofisi,Beylikduzu,Kavakli,40.98367542,28.64388918
301,1,Akaryakit,13,Shell-Turcas Petrol,Sariyer,Cayirbasi,41.15603424,29.03575604
302,2,Akaryakit Lpg,15,Total,Bagcilar,Merkez,41.02964793,28.86681223
303,1,Akaryakit,5,BP,Fatih,Ali Kuscu,41.0177712,28.95090075
304,2,Akaryakit Lpg,10,Opet,Kartal,Cevizli,40.91117178,29.1816818
305,2,Akaryakit Lpg,10,Opet,Sultanbeyli,Abdurrahmangazi,40.97128421,29.25725831
306,2,Akaryakit Lpg,12,Petrol Ofisi,Maltepe,Girne,40.93831269,29.14087701
307,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Gungoren,Gencosman,41.02832064,28.87822706
308,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Zeytinburnu,Tozkoparan,41.0142777,28.90059434
309,2,Akaryakit Lpg,9,LukOil,Uskudar,Selimiye,41.00983903,29.01226015
310,1,Akaryakit,13,Shell-Turcas Petrol,Maltepe,Cevizli,40.92344507,29.15101452
311,2,Akaryakit Lpg,12,Petrol Ofisi,Sultangazi,50. Yil,41.08708975,28.86891506
312,1,Akaryakit,13,Shell-Turcas Petrol,Umraniye,Serifali,40.99902935,29.15498896
313,2,Akaryakit Lpg,14,Termopet Akaryakit,Catalca,Ataturk,41.4101955,28.1854755
314,2,Akaryakit Lpg,10,Opet,Sancaktepe,Merve,41.00720945,29.24424775
315,2,Akaryakit Lpg,5,BP,Zeytinburnu,Veliefendi,40.9939861,28.89457035
316,2,Akaryakit Lpg,15,Total,Uskudar,Altunizade,41.0230893,29.04313523
317,2,Akaryakit Lpg,7,Enerji Petrol,Bagcilar,Yavuz Selim,41.04251084,28.84661452
318,2,Akaryakit Lpg,5,BP,Maltepe,Zumrutevler,40.93749563,29.14092765
319,2,Akaryakit Lpg,27,Turkiye Petrol,Zeytinburnu,Merkezefendi,41.016299,28.91167162
320,1,Akaryakit,5,BP,Buyukcekmece,Mimaroba,41.01046948,28.53174022
321,1,Akaryakit,13,Shell-Turcas Petrol,Zeytinburnu,Kazlicesme,40.98166199,28.89088175
322,1,Akaryakit,5,BP,Bahcelievler,Bahcelievler,41.00336557,28.86629591
323,1,Akaryakit,13,Shell-Turcas Petrol,Kadikoy,Erenkoy,40.97086977,29.08365389
324,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Bagcilar,100. Yil,41.05629933,28.85260992
325,1,Akaryakit,32,cekoil,Silivri,Yeni,41.07231784,28.27391577
326,2,Akaryakit Lpg,5,BP,Esenyurt,Mevlana,41.01431716,28.64691482
327,1,Akaryakit,5,BP,Silivri,Semizkumlar,41.07527809,28.1328553
328,2,Akaryakit Lpg,25,Starpet,Maltepe,Cevizli,40.92027741,29.14773205
329,2,Akaryakit Lpg,5,BP,Arnavutkoy,Mavigol,41.2033959,28.75979455
330,2,Akaryakit Lpg,10,Opet,Bahcelievler,Yenibosna Merkez,41.00988951,28.83102794
331,1,Akaryakit,15,Total,Beykoz,Ishakli,41.13278022,29.28257141
332,2,Akaryakit Lpg,10,Opet,Eyupsultan,Mithatpasa,41.16944965,28.90500865
333,1,Akaryakit,21,Turkuaz,Catalca,Karacakoy Merkez,41.40368877,28.37736237
334,2,Akaryakit Lpg,15,Total,Gaziosmanpasa,Merkez,41.05196898,28.91129632
335,1,Akaryakit,10,Opet,Kucukcekmece,Ataturk,41.06029844,28.78955456
336,2,Akaryakit Lpg,12,Petrol Ofisi,Arnavutkoy,Yesilbayir,41.13654881,28.6229764
337,2,Akaryakit Lpg,5,BP,Basaksehir,Ziya Gokalp,41.0841354,28.78432275
338,2,Akaryakit Lpg,15,Total,Beykoz,Acarlar,41.12164292,29.14625501
339,2,Akaryakit Lpg,5,BP,Kagithane,Merkez,41.08524513,28.97806908
340,2,Akaryakit Lpg,20,Full,Pendik,Bahcelievler,40.88430941,29.2359367
341,1,Akaryakit,3,Aytemiz,Avcilar,Tahtakale,41.05823633,28.73067151
342,2,Akaryakit Lpg,12,Petrol Ofisi,Buyukcekmece,Cakmakli,41.04084216,28.62583498
343,2,Akaryakit Lpg,15,Total,Sisli,Eskisehir,41.04468951,28.97831723
344,2,Akaryakit Lpg,9,LukOil,Esenyurt,Ataturk,41.03181525,28.65739379
345,2,Akaryakit Lpg,12,Petrol Ofisi,Sultangazi,Ugur Mumcu,41.10404414,28.86197178
346,2,Akaryakit Lpg,10,Opet,Kucukcekmece,Gultepe,40.99291354,28.79361403
347,2,Akaryakit Lpg,10,Opet,Uskudar,Ferah,41.0314481,29.07960182
348,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Basaksehir,Basaksehir,41.09846363,28.79100388
349,2,Akaryakit Lpg,12,Petrol Ofisi,Arnavutkoy,Arnavutkoy Merkez,41.18201676,28.74285376
350,1,Akaryakit,12,Petrol Ofisi,Kagithane,Celiktepe,41.08336653,28.99973039
351,1,Akaryakit,13,Shell-Turcas Petrol,Bahcelievler,Yenibosna Merkez,41.01390184,28.82591129
352,1,Akaryakit,12,Petrol Ofisi,Kucukcekmece,Inonu,41.01578731,28.80376468
353,2,Akaryakit Lpg,12,Petrol Ofisi,Kagithane,Caglayan,41.08103855,28.98676537
354,1,Akaryakit,12,Petrol Ofisi,Fatih,Zeyrek,41.01876263,28.95443025
355,2,Akaryakit Lpg,10,Opet,Sisli,Merkez,41.06569501,28.98749277
356,1,Akaryakit,10,Opet,Fatih,Dervis Ali,41.02980115,28.93902429
357,2,Akaryakit Lpg,2,Alpet,Beylikduzu,Adnan Kahveci,40.99610084,28.6252887
358,1,Akaryakit,12,Petrol Ofisi,Silivri,Buyuk Cavuslu,41.22622091,28.06378658
359,2,Akaryakit Lpg,10,Opet,Gaziosmanpasa,Yeni Mahalle,41.08161319,28.8962495
360,2,Akaryakit Lpg,10,Opet,Uskudar,Selimiye,41.00831569,29.02304984
361,1,Akaryakit,13,Shell-Turcas Petrol,Sariyer,Maslak,41.11754302,29.02355514
362,1,Akaryakit,15,Total,Silivri,Yeni,41.07458129,28.2617832
363,2,Akaryakit Lpg,10,Opet,Bagcilar,Fevzi Cakmak,41.04773828,28.85967769
364,2,Akaryakit Lpg,10,Opet,Tuzla,Mescit,40.88408316,29.34923857
365,1,Akaryakit,12,Petrol Ofisi,Beylikduzu,Yakuplu,40.98881815,28.66760101
366,2,Akaryakit Lpg,15,Total,Esenyurt,Ardicli,41.04239594,28.6764123
367,1,Akaryakit,12,Petrol Ofisi,Bagcilar,Yavuz Selim,41.03679069,28.8528852
368,1,Akaryakit,15,Total,Kucukcekmece,Halkali Merkez,41.03209046,28.80008994
369,2,Akaryakit Lpg,5,BP,Basaksehir,Bahcesehir 2. Kisim,41.06005547,28.68809499
370,1,Akaryakit,13,Shell-Turcas Petrol,Sultangazi,50. Yil,41.09173674,28.86447997
371,1,Akaryakit,5,BP,Beykoz,Ruzgarlibahce,41.09474789,29.09756142
372,2,Akaryakit Lpg,10,Opet,Bahcelievler,Cobancesme,40.99309489,28.82714527
373,2,Akaryakit Lpg,2,Alpet,Catalca,Gokceali,41.19727482,28.44551218
374,2,Akaryakit Lpg,5,BP,Beykoz,Gumussuyu,41.1278814,29.09614625
375,1,Akaryakit,12,Petrol Ofisi,Arnavutkoy,Mustafa Kemal Pasa,41.19165865,28.73369324
376,2,Akaryakit Lpg,12,Petrol Ofisi,Esenyurt,Barbaros Hayrettin Pasa,41.0168531,28.63926464
377,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Kartal,Yukari,40.88918493,29.1811804
378,2,Akaryakit Lpg,5,BP,Bahcelievler,Kocasinan Merkez,41.02069618,28.84041721
379,1,Akaryakit,12,Petrol Ofisi,Gaziosmanpasa,Hurriyet,41.06180709,28.90231997
380,1,Akaryakit,12,Petrol Ofisi,Esenyurt,Mevlana,41.00649879,28.66754133
381,2,Akaryakit Lpg,10,Opet,Esenyurt,Koza,41.08044666,28.6524485
382,1,Akaryakit,12,Petrol Ofisi,Sancaktepe,Emek,41.00697284,29.18824372
383,1,Akaryakit,5,BP,Esenyurt,Akcaburgaz,41.06737905,28.64951142
384,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Beyoglu,Yenisehir,41.04156691,28.97933781
385,2,Akaryakit Lpg,13,Shell-Turcas Petrol,Gungoren,Abdurrahman Nafiz Gurman,41.00805522,28.89697717
386,1,Akaryakit,15,Total,Atasehir,Icerenkoy,40.96618877,29.10487218
387,1,Akaryakit,10,Opet,Sultanbeyli,Turgut Reis,40.96122581,29.28279741
388,1,Akaryakit,13,Shell-Turcas Petrol,Bakirkoy,Yenimahalle,40.98161978,28.88431083
389,1,Akaryakit,5,BP,Bahcelievler,Yenibosna Merkez,41.01651655,28.81163703
390,1,Akaryakit,5,BP,Umraniye,Cemil Meric,41.01667932,29.14160235
391,2,Akaryakit Lpg,15,Total,Silivri,Gumusyaka,41.04359049,28.03589148
